,all,0-35,35-55,55-101
templates,1.0,1.0,1.0,1.0
models,0.9588891395343008,0.9713768189800025,0.8807140177319669,0.892176732873936
unique,0.9902527132431359,0.9954761305176818,0.9619972198556118,0.880736029077692
implicit_refined,0.9859412573679056,0.9855295056541838,0.9889062390752091,0.9883930874387413
